memes,data,classe,representacao,nacionalismo
IMG-20200101-WA0166.jpg,01/01/2020,discussao_publica,heroi_lider,historia_imperio
IMG-20200101-WA0254.jpg,01/01/2020,discussao_publica,heroi_lider,historia_republica
IMG-20200102-WA0121.jpg,02/01/2020,persuasivo,vitima_resiliente,povo
IMG-20200103-WA0202.jpg,03/01/2020,persuasivo,salvador_ungido,povo
IMG-20200104-WA0360.jpg,04/01/2020,persuasivo,guerreiro_justiceiro,forcas_armadas
IMG-20200105-WA0025.jpg,05/01/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200119-WA0200.jpg,19/01/2020,persuasivo,popular,brasao_faixa
IMG-20200120-WA0042.jpg,20/01/2020,persuasivo,vitima_resiliente,brasao_faixa
IMG-20200121-WA0025.jpg,21/01/2020,persuasivo,pai_dos_pobres,cores_nacionais
IMG-20200124-WA0243.jpg,24/01/2020,persuasivo,vitima_resiliente,cores_nacionais
IMG-20200128-WA0233.jpg,28/01/2020,persuasivo,heroi_lider,cores_nacionais
IMG-20200202-WA0052.jpg,02/02/2020,discussao_publica,heroi_lider,esporte
IMG-20200120-WA0042.jpg,21/01/2020,persuasivo,vitima_resiliente,bandeira
IMG-20200207-WA0123.jpg,07/02/2020,persuasivo,honesto_abnegado,cores_nacionais
IMG-20200207-WA0123.jpg,08/02/2020,persuasivo,honesto_abnegado,bandeira
IMG-20200225-WA0288.jpg,25/02/2020,acao_popular,heroi_lider,bandeira
IMG-20200225-WA0288.jpg,26/02/2020,acao_popular,heroi_lider,forcas_armadas
IMG-20200301-WA0038.jpg,01/03/2020,acao_popular,heroi_lider,cores_nacionais
IMG-20200305-WA0035.jpg,05/03/2020,discussao_publica,vitima_resiliente,cores_nacionais
IMG-20200301-WA0038.jpg,02/03/2020,acao_popular,heroi_lider,forcas_armadas
IMG-20200313-WA0294.jpg,13/03/2020,persuasivo,heroi_lider,forcas_armadas
IMG-20200317-WA0265.jpg,17/03/2020,persuasivo,martir_injusticado,bandeira
IMG-20200305-WA0035.jpg,06/03/2020,discussao_publica,vitima_resiliente,brasao_faixa
IMG-20200321-WA0548.jpg,21/03/2020,acao_popular,heroi_lider,cores_nacionais
IMG-20200322-WA0287.jpg,22/03/2020,duvida,heroi_lider,forcas_armadas
IMG-20200323-WA0116.jpg,23/03/2020,persuasivo,honesto_abnegado,forcas_armadas
IMG-20200321-WA0548.jpg,22/03/2020,acao_popular,heroi_lider,bandeira
IMG-20200325-WA0016.jpg,25/03/2020,persuasivo,honesto_abnegado,bandeira
IMG-20200326-WA0068.jpg,26/03/2020,persuasivo,honesto_abnegado,cores_nacionais
IMG-20200326-WA0173.jpg,26/03/2020,discussao_publica,picaro,brasao_faixa
IMG-20200328-WA0105.jpg,28/03/2020,discussao_publica,heroi_lider,forcas_armadas
IMG-20200401-WA0044.jpg,01/04/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200326-WA0068.jpg,27/03/2020,persuasivo,honesto_abnegado,bandeira
IMG-20200402-WA0416.jpg,02/04/2020,persuasivo,guerreiro_justiceiro,bandeira
IMG-20200406-WA0441.jpg,06/04/2020,duvida,martir_injusticado,bandeira
IMG-20200409-WA0248.jpg,09/04/2020,discussao_publica,picaro,forcas_armadas
IMG-20200409-WA0255.jpg,09/04/2020,persuasivo,pai_dos_pobres,brasao_faixa
IMG-20200412-WA0201.jpg,12/04/2020,discussao_publica,vitima_resiliente,cores_nacionais
IMG-20200412-WA0457.jpg,12/04/2020,acao_popular,heroi_lider,povo
IMG-20200412-WA0201.jpg,13/04/2020,discussao_publica,vitima_resiliente,bandeira
IMG-20200414-WA0421.jpg,14/04/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200414-WA0421.jpg,15/04/2020,persuasivo,salvador_ungido,bandeira
IMG-20200415-WA0005.jpg,15/04/2020,persuasivo,salvador_ungido,cores_nacionais
IMG-20200321-WA0548.jpg,22/03/2020,acao_popular,heroi_lider,esporte
IMG-20200415-WA0171.jpg,15/04/2020,duvida,popular,povo
IMG-20200415-WA0005.jpg,16/04/2020,persuasivo,salvador_ungido,bandeira
IMG-20200418-WA0413.jpg,18/04/2020,discussao_publica,martir_injusticado,brasao_faixa
IMG-20200420-WA0230.jpg,20/04/2020,persuasivo,martir_injusticado,cores_nacionais
IMG-20200418-WA0413.jpg,19/04/2020,discussao_publica,martir_injusticado,bandeira
IMG-20200421-WA0719.jpg,20/04/2020,discussao_publica,picaro,historia_republica
IMG-20200421-WA0719.jpg,21/04/2020,discussao_publica,picaro,brasao_faixa
