week,freq,democracy
01,0,misogyny
02,0,misogyny
03,0,misogyny
04,0,misogyny
05,0,misogyny
06,0,misogyny
07,0,misogyny
08,0,misogyny
09,0,misogyny
10,0,misogyny
11,0,misogyny
12,0,misogyny
13,0,misogyny
14,0,misogyny
15,1,misogyny
16,0,misogyny
17,0,misogyny
18,0,misogyny
19,0,misogyny
20,0,misogyny
21,1,misogyny
22,0,misogyny
23,0,misogyny
24,0,misogyny
25,0,misogyny
26,0,misogyny
27,0,misogyny
01,0,homophobia
02,0,homophobia
03,0,homophobia
04,0,homophobia
05,0,homophobia
06,0,homophobia
07,0,homophobia
08,0,homophobia
09,0,homophobia
10,0,homophobia
11,0,homophobia
12,0,homophobia
13,0,homophobia
14,0,homophobia
15,0,homophobia
16,0,homophobia
17,0,homophobia
18,0,homophobia
19,1,homophobia
20,1,homophobia
21,3,homophobia
22,0,homophobia
23,0,homophobia
24,0,homophobia
25,0,homophobia
26,0,homophobia
27,0,homophobia
01,0,racism
02,0,racism
03,0,racism
04,0,racism
05,0,racism
06,0,racism
07,0,racism
08,0,racism
09,0,racism
10,0,racism
11,0,racism
12,0,racism
13,0,racism
14,0,racism
15,0,racism
16,0,racism
17,0,racism
18,1,racism
19,0,racism
20,0,racism
21,2,racism
22,0,racism
23,0,racism
24,0,racism
25,0,racism
26,0,racism
27,0,racism
01,1,tributes_dictatorship
02,0,tributes_dictatorship
03,0,tributes_dictatorship
04,0,tributes_dictatorship
05,0,tributes_dictatorship
06,0,tributes_dictatorship
07,0,tributes_dictatorship
08,0,tributes_dictatorship
09,0,tributes_dictatorship
10,2,tributes_dictatorship
11,0,tributes_dictatorship
12,0,tributes_dictatorship
13,1,tributes_dictatorship
14,0,tributes_dictatorship
15,1,tributes_dictatorship
16,0,tributes_dictatorship
17,6,tributes_dictatorship
18,1,tributes_dictatorship
19,4,tributes_dictatorship
20,0,tributes_dictatorship
21,3,tributes_dictatorship
22,1,tributes_dictatorship
23,0,tributes_dictatorship
24,0,tributes_dictatorship
25,0,tributes_dictatorship
26,0,tributes_dictatorship
27,0,tributes_dictatorship
01,1,gun_rights
02,0,gun_rights
03,0,gun_rights
04,0,gun_rights
05,0,gun_rights
06,0,gun_rights
07,0,gun_rights
08,0,gun_rights
09,0,gun_rights
10,0,gun_rights
11,0,gun_rights
12,0,gun_rights
13,0,gun_rights
14,0,gun_rights
15,0,gun_rights
16,0,gun_rights
17,1,gun_rights
18,0,gun_rights
19,0,gun_rights
20,0,gun_rights
21,5,gun_rights
22,0,gun_rights
23,0,gun_rights
24,1,gun_rights
25,0,gun_rights
26,0,gun_rights
27,0,gun_rights
01,0,anticommunism_antiterrorism
02,0,anticommunism_antiterrorism
03,0,anticommunism_antiterrorism
04,0,anticommunism_antiterrorism
05,0,anticommunism_antiterrorism
06,0,anticommunism_antiterrorism
07,0,anticommunism_antiterrorism
08,0,anticommunism_antiterrorism
09,0,anticommunism_antiterrorism
10,1,anticommunism_antiterrorism
11,0,anticommunism_antiterrorism
12,0,anticommunism_antiterrorism
13,0,anticommunism_antiterrorism
14,0,anticommunism_antiterrorism
15,0,anticommunism_antiterrorism
16,0,anticommunism_antiterrorism
17,1,anticommunism_antiterrorism
18,0,anticommunism_antiterrorism
19,0,anticommunism_antiterrorism
20,0,anticommunism_antiterrorism
21,1,anticommunism_antiterrorism
22,0,anticommunism_antiterrorism
23,0,anticommunism_antiterrorism
24,0,anticommunism_antiterrorism
25,0,anticommunism_antiterrorism
26,0,anticommunism_antiterrorism
27,0,anticommunism_antiterrorism
01,0,antidrugs
02,0,antidrugs
03,0,antidrugs
04,0,antidrugs
05,0,antidrugs
06,0,antidrugs
07,0,antidrugs
08,0,antidrugs
09,0,antidrugs
10,0,antidrugs
11,0,antidrugs
12,0,antidrugs
13,0,antidrugs
14,0,antidrugs
15,0,antidrugs
16,0,antidrugs
17,0,antidrugs
18,0,antidrugs
19,0,antidrugs
20,0,antidrugs
21,4,antidrugs
22,0,antidrugs
23,0,antidrugs
24,0,antidrugs
25,0,antidrugs
26,0,antidrugs
27,0,antidrugs
01,6,attacks_political
02,0,attacks_political
03,2,attacks_political
04,3,attacks_political
05,1,attacks_political
06,1,attacks_political
07,0,attacks_political
08,1,attacks_political
09,0,attacks_political
10,2,attacks_political
11,0,attacks_political
12,1,attacks_political
13,1,attacks_political
14,3,attacks_political
15,0,attacks_political
16,2,attacks_political
17,9,attacks_political
18,3,attacks_political
19,0,attacks_political
20,3,attacks_political
21,8,attacks_political
22,1,attacks_political
23,0,attacks_political
24,0,attacks_political
25,0,attacks_political
26,0,attacks_political
27,0,attacks_political
01,1,attacks_media
02,0,attacks_media
03,0,attacks_media
04,0,attacks_media
05,0,attacks_media
06,2,attacks_media
07,0,attacks_media
08,0,attacks_media
09,0,attacks_media
10,1,attacks_media
11,0,attacks_media
12,1,attacks_media
13,1,attacks_media
14,1,attacks_media
15,0,attacks_media
16,0,attacks_media
17,3,attacks_media
18,3,attacks_media
19,1,attacks_media
20,0,attacks_media
21,1,attacks_media
22,0,attacks_media
23,0,attacks_media
24,0,attacks_media
25,0,attacks_media
26,0,attacks_media
27,0,attacks_media
