week,date,percent,line
week 01,30/12/2019 a 05/01/2020,7.5,whatsapp_memes
week 02,06/01/2020 a 12/01/2020,0,whatsapp_memes
week 03,13/01/2020 a 19/01/2020,2.5,whatsapp_memes
week 04,20/01/2020 a 26/01/2020,1.5,whatsapp_memes
week 05,27/01/2020 a 02/02/2020,1,whatsapp_memes
week 06,03/02/2020 a 09/02/2020,2.5,whatsapp_memes
week 07,10/02/2020 a 16/02/2020,0,whatsapp_memes
week 08,17/02/2020 a 23/02/2020,1,whatsapp_memes
week 09,24/02/2020 a 01/03/2020,1.5,whatsapp_memes
week 10,02/03/2020 a 08/03/2020,2,whatsapp_memes
week 11,09/03/2020 a 15/03/2020,2.5,whatsapp_memes
week 12,16/03/2020 a 22/03/2020,6,whatsapp_memes
week 13,23/03/2020 a 29/03/2020,3.5,whatsapp_memes
week 14,30/03/2020 a 05/04/2020,2,whatsapp_memes
week 15,06/04/2020 a 12/04/2020,5,whatsapp_memes
week 16,13/04/2020 a 19/04/2020,3,whatsapp_memes
week 17,20/04/2020 a 26/04/2020,17.5,whatsapp_memes
week 18,27/04/2020 a 03/05/2020,8.5,whatsapp_memes
week 19,04/05/2020 a 10/05/2020,6,whatsapp_memes
week 20,11/05/2020 a 17/05/2020,7,whatsapp_memes
week 21,18/05/2020 a 24/05/2020,15.5,whatsapp_memes
week 22,25/04/2020 a 31/05/2020,2,whatsapp_memes
week 23,01/06/2020 a 07/06/2020,0,whatsapp_memes
week 24,08/06/2020 a 14/06/2020,1.5,whatsapp_memes
week 25,15/06/2020 a 21/06/2020,0.5,whatsapp_memes
week 26,22/06/2020 a 28/06/2020,0,whatsapp_memes
week 27,29/06/2020 a 05/07/2020,0,whatsapp_memes
week 01,30/12/2019 a 05/01/2020,2.668360864,bolsonaro_statements
week 02,06/01/2020 a 12/01/2020,1.778907243,bolsonaro_statements
week 03,13/01/2020 a 19/01/2020,1.524777637,bolsonaro_statements
week 04,20/01/2020 a 26/01/2020,0.3811944091,bolsonaro_statements
week 05,27/01/2020 a 02/02/2020,0.5082592122,bolsonaro_statements
week 06,03/02/2020 a 09/02/2020,2.92249047,bolsonaro_statements
week 07,10/02/2020 a 16/02/2020,1.27064803,bolsonaro_statements
week 08,17/02/2020 a 23/02/2020,1.016518424,bolsonaro_statements
week 09,24/02/2020 a 01/03/2020,0.7623888183,bolsonaro_statements
week 10,02/03/2020 a 08/03/2020,1.143583227,bolsonaro_statements
week 11,09/03/2020 a 15/03/2020,2.541296061,bolsonaro_statements
week 12,16/03/2020 a 22/03/2020,7.242693774,bolsonaro_statements
week 13,23/03/2020 a 29/03/2020,6.607369759,bolsonaro_statements
week 14,30/03/2020 a 05/04/2020,6.861499365,bolsonaro_statements
week 15,06/04/2020 a 12/04/2020,3.557814485,bolsonaro_statements
week 16,13/04/2020 a 19/04/2020,5.082592122,bolsonaro_statements
week 17,20/04/2020 a 26/04/2020,3.430749682,bolsonaro_statements
week 18,27/04/2020 a 03/05/2020,5.336721728,bolsonaro_statements
week 19,04/05/2020 a 10/05/2020,6.353240152,bolsonaro_statements
week 20,11/05/2020 a 17/05/2020,4.955527319,bolsonaro_statements
week 21,18/05/2020 a 24/05/2020,10.41931385,bolsonaro_statements
week 22,25/04/2020 a 31/05/2020,3.430749682,bolsonaro_statements
week 23,01/06/2020 a 07/06/2020,3.811944091,bolsonaro_statements
week 24,08/06/2020 a 14/06/2020,4.320203304,bolsonaro_statements
week 25,15/06/2020 a 21/06/2020,3.303684879,bolsonaro_statements
week 26,22/06/2020 a 28/06/2020,7.242693774,bolsonaro_statements
week 27,29/06/2020 a 05/07/2020,1.524777637,bolsonaro_statements
