week,date,percent,line
week 1,30/12/2019 a 05/01/2020,7.5,whatsapp_memes
week 2,06/01/2020 a 12/01/2020,0,whatsapp_memes
week 3,13/01/2020 a 19/01/2020,2.5,whatsapp_memes
week 4,20/01/2020 a 26/01/2020,1.5,whatsapp_memes
week 5,27/01/2020 a 02/02/2020,1,whatsapp_memes
week 6,03/02/2020 a 09/02/2020,2.5,whatsapp_memes
week 7,10/02/2020 a 16/02/2020,0,whatsapp_memes
week 8,17/02/2020 a 23/02/2020,1,whatsapp_memes
week 9,24/02/2020 a 01/03/2020,1.5,whatsapp_memes
week 10,02/03/2020 a 08/03/2020,2,whatsapp_memes
week 11,09/03/2020 a 15/03/2020,2.5,whatsapp_memes
week 12,16/03/2020 a 22/03/2020,6,whatsapp_memes
week 13,23/03/2020 a 29/03/2020,3.5,whatsapp_memes
week 14,30/03/2020 a 05/04/2020,2,whatsapp_memes
week 15,06/04/2020 a 12/04/2020,5,whatsapp_memes
week 16,13/04/2020 a 19/04/2020,3,whatsapp_memes
week 17,20/04/2020 a 26/04/2020,17.5,whatsapp_memes
week 18,27/04/2020 a 03/05/2020,8.5,whatsapp_memes
week 19,04/05/2020 a 10/05/2020,6,whatsapp_memes
week 20,11/05/2020 a 17/05/2020,7,whatsapp_memes
week 21,18/05/2020 a 24/05/2020,15.5,whatsapp_memes
week 22,25/04/2020 a 31/05/2020,2,whatsapp_memes
week 23,01/06/2020 a 07/06/2020,0,whatsapp_memes
week 24,08/06/2020 a 14/06/2020,1.5,whatsapp_memes
week 25,15/06/2020 a 21/06/2020,0.5,whatsapp_memes
week 26,22/06/2020 a 28/06/2020,0,whatsapp_memes
week 27,29/06/2020 a 05/07/2020,0,whatsapp_memes
