week,date,whatsapp_meme,bolsonaro_statement
week 1,30/12/2019 a 05/01/2020,7.5,2.668360864
week 2,06/01/2020 a 12/01/2020,0,1.778907243
week 3,13/01/2020 a 19/01/2020,2.5,1.524777637
week 4,20/01/2020 a 26/01/2020,1.5,0.3811944091
week 5,27/01/2020 a 02/02/2020,1,0.5082592122
week 6,03/02/2020 a 09/02/2020,2.5,2.92249047
week 7,10/02/2020 a 16/02/2020,0,1.27064803
week 8,17/02/2020 a 23/02/2020,1,1.016518424
week 9,24/02/2020 a 01/03/2020,1.5,0.7623888183
week 10,02/03/2020 a 08/03/2020,2,1.143583227
week 11,09/03/2020 a 15/03/2020,2.5,2.541296061
week 12,16/03/2020 a 22/03/2020,6,7.242693774
week 13,23/03/2020 a 29/03/2020,3.5,6.607369759
week 14,30/03/2020 a 05/04/2020,2,6.861499365
week 15,06/04/2020 a 12/04/2020,5,3.557814485
week 16,13/04/2020 a 19/04/2020,3,5.082592122
week 17,20/04/2020 a 26/04/2020,17.5,3.430749682
week 18,27/04/2020 a 03/05/2020,8.5,5.336721728
week 19,04/05/2020 a 10/05/2020,6,6.353240152
week 20,11/05/2020 a 17/05/2020,7,4.955527319
week 21,18/05/2020 a 24/05/2020,15.5,10.41931385
week 22,25/04/2020 a 31/05/2020,2,3.430749682
week 23,01/06/2020 a 07/06/2020,0,3.811944091
week 24,08/06/2020 a 14/06/2020,1.5,4.320203304
week 25,15/06/2020 a 21/06/2020,0.5,3.303684879
week 26,22/06/2020 a 28/06/2020,0,7.242693774
week 27,29/06/2020 a 05/07/2020,0,1.524777637
